Date (MM/DD/YYYY),Time (HH:MM:SS),date_analyzed,duplicate,vial_no,fb_fluor_rfu,vol_ext,vol_filter,fluor_rfu
6/24/2019,9:30:00,6/27/2019,0,1,0,8,250,1442.9
6/24/2019,10:30:00,6/27/2019,0,2,0,8,250,1353.99
6/24/2019,11:30:00,6/27/2019,0,3,0,8,250,1645.36
6/24/2019,11:30:00,6/27/2019,1,3,0,8,250,1789.27
6/24/2019,12:30:00,6/27/2019,0,4,0,8,250,1414.72
6/24/2019,13:30:00,6/27/2019,0,5,0,8,250,1451.11
6/24/2019,13:30:00,6/27/2019,1,5,0,8,250,NA
6/24/2019,14:30:00,6/27/2019,0,6,0,8,250,1638.36
6/24/2019,15:30:00,6/27/2019,0,7,0,8,250,1883.17
6/24/2019,16:30:00,6/27/2019,0,8,0,8,250,2353.94
6/24/2019,17:30:00,6/27/2019,0,9,0,8,250,1850.65
6/24/2019,18:30:00,6/27/2019,0,10,0,8,250,1779.39
6/24/2019,19:30:00,6/27/2019,0,11,0,8,250,1646.6
6/24/2019,20:30:00,6/27/2019,0,12,0,8,250,1391.47
6/24/2019,20:30:00,6/27/2019,1,12,0,8,250,1300.21
6/24/2019,21:30:00,6/27/2019,0,13,0,8,250,1401.47
6/24/2019,22:30:00,6/27/2019,0,14,0,8,250,1108.08
6/24/2019,23:30:00,6/27/2019,0,15,0,8,250,893.15
6/24/2019,23:30:00,6/27/2019,1,15,0,8,250,1158.76
6/25/2019,0:30:00,6/27/2019,0,16,0,8,250,970.73
6/25/2019,1:30:00,6/27/2019,0,17,0,8,250,998.1
6/25/2019,2:30:00,6/27/2019,0,18,0,8,250,NA
6/25/2019,3:30:00,6/27/2019,0,19,0,8,250,980.3
6/25/2019,3:30:00,6/27/2019,1,19,0,8,250,1006.02
6/25/2019,4:30:00,6/27/2019,0,20,0,8,250,855.06
6/25/2019,5:30:00,6/27/2019,0,21,0,8,250,1045.91
6/25/2019,6:30:00,6/27/2019,0,22,0,8,250,995.45
6/25/2019,7:30:00,6/27/2019,0,23,0,8,250,1407.91
6/25/2019,7:30:00,6/27/2019,1,23,0,8,250,1454.21
6/25/2019,8:30:00,6/27/2019,0,24,0,8,250,1643.73
