Date (MM/DD/YYYY),Time (HH:MM:SS),Time (Fract. Sec),Site Name,Fault Code,Battery V,ODO % sat,ODO mg/L,pH,pH mV,Temp °C,SpCond mS/cm,Sal ppt,Turbidity NTU,Chlorophyll RFU,Chlorophyll µg/L,Depth m
10/22/2019,12:58:00,0,Pellicer Creek,0,5.4,98.2,8.64,6.76,-11.8,21.567,0.001,0,0.62,0,-0.02,-0.049
10/22/2019,12:59:00,0,Pellicer Creek,0,5.4,70.1,6.59,7.39,-48.4,16.973,8.7101,4.88,8.01,2.78,11.06,-0.021
10/22/2019,13:00:00,0,Pellicer Creek,0,5.4,69.9,6.57,7.33,-44.6,16.903,8.728,4.89,7.91,2.79,11.11,-0.091
10/22/2019,13:01:00,0,Pellicer Creek,0,5.4,70,6.58,7.3,-43.4,16.909,8.7323,4.9,8.08,2.83,11.27,-0.112
10/22/2019,13:02:00,0,Pellicer Creek,0,5.4,70,6.58,7.29,-42.7,16.924,8.7335,4.9,7.88,2.84,11.3,-0.112
10/22/2019,13:03:00,0,Pellicer Creek,0,5.4,70,6.58,7.28,-42.2,16.944,8.734,4.9,8.04,2.81,11.18,-0.112
10/22/2019,13:04:00,0,Pellicer Creek,0,5.4,70.1,6.58,7.28,-41.7,16.964,8.7342,4.9,8.05,2.84,11.31,-0.108
10/22/2019,13:05:00,0,Pellicer Creek,0,5.4,70.1,6.58,7.27,-41.2,16.985,8.7341,4.9,8.01,2.76,11,-0.103
10/22/2019,13:06:00,0,Pellicer Creek,0,5.4,70.2,6.58,7.26,-40.7,17.006,8.734,4.9,8.11,2.82,11.2,-0.098
10/22/2019,13:07:00,0,Pellicer Creek,0,5.4,70.2,6.59,7.25,-40.3,17.026,8.7342,4.9,8.12,2.87,11.44,-0.094
10/22/2019,13:08:00,0,Pellicer Creek,0,5.4,70.3,6.59,7.25,-40,17.045,8.734,4.9,8,2.83,11.25,-0.09
10/22/2019,13:09:00,0,Pellicer Creek,0,5.4,70.3,6.59,7.24,-39.6,17.065,8.7339,4.9,7.99,2.81,11.19,-0.087
10/22/2019,13:10:00,0,Pellicer Creek,0,5.4,70.4,6.59,7.23,-39.3,17.083,8.7339,4.9,7.91,2.84,11.32,-0.088
10/22/2019,13:11:00,0,Pellicer Creek,0,5.3,70.5,6.6,7.23,-39.1,17.101,8.7338,4.9,8.01,2.82,11.23,-0.09
10/22/2019,13:12:00,0,Pellicer Creek,0,5.4,70.5,6.6,7.23,-38.9,17.119,8.7339,4.9,8.07,2.86,11.38,-0.089
10/22/2019,13:13:00,0,Pellicer Creek,0,5.4,70.6,6.61,7.22,-38.6,17.137,8.7339,4.9,7.9,2.87,11.43,-0.089
10/22/2019,13:14:00,0,Pellicer Creek,0,5.4,70.7,6.61,7.22,-38.4,17.155,8.7338,4.9,7.96,2.8,11.14,-0.088
10/22/2019,13:15:00,0,Pellicer Creek,0,5.3,70.8,6.62,7.22,-38.3,17.174,8.7338,4.9,7.96,2.8,11.15,-0.088
10/22/2019,13:16:00,0,Pellicer Creek,0,5.3,70.8,6.62,7.21,-38.1,17.192,8.7337,4.9,7.93,2.77,11.04,-0.088
10/22/2019,13:17:00,0,Pellicer Creek,0,5.3,70.9,6.62,7.21,-38,17.21,8.7337,4.9,8.02,2.77,11.01,-0.088
10/22/2019,13:18:00,0,Pellicer Creek,0,5.3,71,6.63,7.21,-37.9,17.228,8.7335,4.9,7.93,2.81,11.19,-0.091
10/22/2019,13:19:00,0,Pellicer Creek,0,5.3,71,6.63,7.21,-37.8,17.246,8.7335,4.9,7.94,2.85,11.36,-0.09
10/22/2019,13:20:00,0,Pellicer Creek,0,5.3,71.1,6.64,7.21,-37.7,17.263,8.7336,4.9,7.95,2.84,11.31,-0.09
10/22/2019,13:21:00,0,Pellicer Creek,0,5.3,71.2,6.64,7.21,-37.6,17.281,8.7336,4.9,7.98,2.74,10.92,-0.09
10/22/2019,13:22:00,0,Pellicer Creek,0,5.3,71.3,6.65,7.2,-37.5,17.298,8.7335,4.9,7.91,2.83,11.25,-0.09
10/22/2019,13:23:00,0,Pellicer Creek,0,5.3,71.3,6.65,7.2,-37.5,17.315,8.7334,4.9,8.05,2.81,11.17,-0.09
10/22/2019,13:24:00,0,Pellicer Creek,0,5.3,71.4,6.65,7.2,-37.5,17.332,8.7334,4.9,7.88,2.8,11.13,-0.089
10/22/2019,13:25:00,0,Pellicer Creek,0,5.3,71.4,6.66,7.2,-37.4,17.349,8.7334,4.9,7.93,2.83,11.25,-0.09
10/22/2019,13:26:00,0,Pellicer Creek,0,5.4,71.5,6.66,7.2,-37.4,17.367,8.7332,4.9,7.97,2.81,11.18,-0.092
10/22/2019,13:27:00,0,Pellicer Creek,0,5.3,71.6,6.66,7.2,-37.4,17.383,8.7334,4.9,8.07,2.84,11.31,-0.091
