Date,Time,F_Record,Time(Fract.Sec),SiteName,FaultCode,Battery,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,pH,F_pH,pHmV,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,Turb,F_Turb,ChlorophyllRFU,ChlFluor,F_ChlFluor,Depth,F_Depth
06/04/2019,10:45, ,0,Pellicer Creek,0,6.2,81.9,<0> (CND),5.25,<0> (CND),7.64,<0> (CND),-45,30.565,<0> (CND),44.3658,<0> (CND),28.49,<0> (CND),16.66,<0> (CND),4.99,20.21,<0> (CND),1.571,<0> (CND)
06/04/2019,11:00, ,0,Pellicer Creek,0,6.2,80.8,0,5.16,0,7.64,0,-45.3,30.54,0,45.2351,0,29.12,0,17.19,0,5.19,21.02,0,1.578,0
06/04/2019,11:15, ,0,Pellicer Creek,0,6.2,79.5,0,5.07,0,7.64,0,-45,30.511,0,45.6991,0,29.45,0,19.43,0,5.47,22.13,0,1.584,0
06/04/2019,11:30, ,0,Pellicer Creek,0,6.2,84.2,0,5.34,0,7.67,0,-47.4,30.727,0,46.0497,0,29.7,0,17.51,0,5.44,22.03,0,1.591,0
06/04/2019,11:45, ,0,Pellicer Creek,0,6.2,87.7,0,5.54,0,7.69,0,-48.4,30.964,0,46.2959,0,29.87,0,16.05,0,5.23,21.2,0,1.594,0
06/04/2019,12:00, ,0,Pellicer Creek,0,6.2,83.6,0,5.28,0,7.66,0,-46.6,30.976,0,46.4548,0,29.98,0,16.19,0,4.93,19.96,0,1.586,0
06/04/2019,12:15, ,0,Pellicer Creek,0,6.2,74.4,0,4.7,0,7.62,0,-44.1,30.941,0,46.4624,0,29.99,0,20.68,0,4.63,18.79,0,1.571,0
06/04/2019,12:30, ,0,Pellicer Creek,0,6.2,78.8,0,4.99,0,7.64,0,-45.1,30.814,0,46.4385,0,29.98,0,14,0,4.67,18.96,0,1.548,0
06/04/2019,12:45, ,0,Pellicer Creek,0,6.2,81.2,0,5.16,0,7.65,0,-45.7,30.684,0,46.0191,0,29.68,0,15.08,0,5.29,21.41,0,1.521,0
06/04/2019,13:00, ,0,Pellicer Creek,0,6.2,81,0,5.15,0,7.63,0,-44.7,30.66,0,45.6164,0,29.39,0,13.54,0,5.35,21.65,0,1.495,0
06/04/2019,13:15, ,0,Pellicer Creek,0,6.2,83.9,0,5.34,0,7.64,0,-45.2,30.786,0,45.2796,0,29.14,0,15.65,0,4.9,19.86,0,1.474,0
06/04/2019,13:30, ,0,Pellicer Creek,0,6.2,94.5,0,6,0,7.69,0,-48.1,31.254,0,43.7892,0,28.06,0,14.64,0,5.21,21.1,0,1.461,0
06/04/2019,13:45, ,0,Pellicer Creek,0,6.2,95.8,0,6.11,0,7.69,0,-48.2,31.404,0,42.0684,0,26.82,0,12.87,0,5.32,21.54,0,1.437,0
06/04/2019,14:00, ,0,Pellicer Creek,0,6.2,88.5,0,5.66,0,7.63,0,-44.6,31.218,0,42.4195,0,27.08,0,13.02,0,5.51,22.3,0,1.41,0
06/04/2019,14:15, ,0,Pellicer Creek,0,6.2,93.5,0,5.98,0,7.66,0,-46.5,31.445,0,41.2476,0,26.24,0,12.92,0,5.09,20.63,0,1.387,0
06/04/2019,14:30, ,0,Pellicer Creek,0,6.2,93.3,0,5.98,0,7.65,0,-46.1,31.537,0,40.1878,0,25.49,0,11.23,0,5.17,20.95,0,1.363,0
06/04/2019,14:45, ,0,Pellicer Creek,0,6.2,94.3,0,6.05,0,7.64,0,-45.6,31.699,0,39.1392,0,24.74,0,10.96,0,4.88,19.77,0,1.337,0
06/04/2019,15:00, ,0,Pellicer Creek,0,6.2,91.9,0,5.9,0,7.63,0,-44.6,31.584,0,39.264,0,24.84,0,10.66,0,5.06,20.5,0,1.316,0
06/04/2019,15:15, ,0,Pellicer Creek,0,6.2,84.6,0,5.46,0,7.58,0,-41.6,31.167,0,40.192,0,25.5,0,11.79,0,5.29,21.43,0,1.288,0
06/04/2019,15:30, ,0,Pellicer Creek,0,6.2,85.5,0,5.52,0,7.59,0,-42.2,31.239,0,39.5867,0,25.07,0,10.57,0,5.61,22.71,0,1.267,0
06/04/2019,15:45, ,0,Pellicer Creek,0,6.2,83.7,0,5.4,0,7.58,0,-41.8,31.34,0,39.1787,0,24.78,0,10.65,0,5.63,22.79,0,1.248,0
06/04/2019,16:00, ,0,Pellicer Creek,0,6.2,93.8,0,6.05,0,7.63,0,-44.9,31.766,0,37.5234,0,23.61,0,8.98,0,5.42,21.95,0,1.23,0
06/04/2019,16:15, ,0,Pellicer Creek,0,6.2,83.3,0,5.37,0,7.55,0,-40.2,31.437,0,38.8802,0,24.57,0,10.08,0,4.92,19.94,0,1.215,0
06/04/2019,16:30, ,0,Pellicer Creek,0,6.2,82.5,0,5.32,0,7.56,0,-40.7,31.385,0,38.9436,0,24.62,0,10.68,0,5.29,21.43,0,1.189,0
06/04/2019,16:45, ,0,Pellicer Creek,0,6.2,80.8,0,5.22,0,7.55,0,-39.7,31.478,0,38.2282,0,24.11,0,9.68,0,5.08,20.59,0,1.168,0
06/04/2019,17:00, ,0,Pellicer Creek,0,6.2,79.3,0,5.14,0,7.53,0,-38.7,31.584,0,37.4573,0,23.57,0,11.39,0,5.02,20.34,0,1.151,0
06/04/2019,17:15, ,0,Pellicer Creek,0,6.2,87,0,5.64,0,7.57,0,-41,31.714,0,36.3719,0,22.81,0,9.93,0,5.53,22.39,0,1.135,0
06/04/2019,17:30, ,0,Pellicer Creek,0,6.2,81.2,0,5.27,0,7.52,0,-38.3,31.663,0,36.3738,0,22.81,0,9.62,0,5.64,22.8,0,1.118,0
06/04/2019,17:45, ,0,Pellicer Creek,0,6.2,82.4,0,5.35,0,7.52,0,-38,31.667,0,36.3755,0,22.81,0,9.82,0,5.41,21.92,0,1.104,0
06/04/2019,18:00, ,0,Pellicer Creek,0,6.2,85.2,0,5.54,0,7.55,0,-39.8,31.745,0,35.6154,0,22.28,0,9.93,0,5.44,22.04,0,1.091,0
06/04/2019,18:15, ,0,Pellicer Creek,0,6.2,85.1,0,5.54,0,7.55,0,-39.8,31.807,0,34.9984,0,21.85,0,10.33,0,5.12,20.75,0,1.081,0
06/04/2019,18:30, ,0,Pellicer Creek,0,6.2,79.9,0,5.2,0,7.52,0,-38.1,31.818,0,34.8468,0,21.75,0,10.09,0,5.31,21.5,0,1.073,0
06/04/2019,18:45, ,0,Pellicer Creek,0,6.2,84.3,0,5.51,0,7.53,0,-38.9,31.907,0,33.7837,0,21.01,0,12.12,0,5.31,21.5,0,1.073,0
06/04/2019,19:00, ,0,Pellicer Creek,0,6.2,83.3,0,5.47,0,7.54,0,-39.4,31.91,0,32.3992,0,20.06,0,8.28,0,4.73,19.18,0,1.086,0
06/04/2019,19:15, ,0,Pellicer Creek,0,6.2,95.4,0,6.25,0,7.62,0,-44.2,31.812,0,33.2118,0,20.62,0,11.71,0,6.06,24.51,0,1.104,0
06/04/2019,19:30, ,0,Pellicer Creek,0,6.2,95.8,0,6.26,0,7.64,0,-45.3,31.843,0,33.8867,0,21.09,0,13.59,0,5.67,22.93,0,1.124,0
06/04/2019,19:45, ,0,Pellicer Creek,0,6.2,96.6,0,6.34,0,7.66,0,-46.7,31.533,0,34.1171,0,21.25,0,14.07,0,5.59,22.62,0,1.139,0
06/04/2019,20:00, ,0,Pellicer Creek,0,6.2,95.7,0,6.26,0,7.67,0,-47.1,31.409,0,35.3166,0,22.08,0,13.55,0,5.5,22.28,0,1.162,0
06/04/2019,20:15, ,0,Pellicer Creek,0,6.2,96.1,0,6.28,0,7.69,0,-48.2,31.298,0,35.9042,0,22.5,0,14.85,0,5.31,21.52,0,1.193,0
06/04/2019,20:30, ,0,Pellicer Creek,0,6.2,94.8,0,6.19,0,7.68,0,-48,31.206,0,36.4574,0,22.88,0,14.2,0,5.12,20.76,0,1.23,0
06/04/2019,20:45, ,0,Pellicer Creek,0,6.2,93,0,6.03,0,7.67,0,-47.4,31.365,0,37.83,0,23.84,0,13.96,0,4.72,19.13,0,1.271,0
06/04/2019,21:00, ,0,Pellicer Creek,0,6.1,92.8,0,6.01,0,7.68,0,-47.5,31.292,0,38.4848,0,24.3,0,15.87,0,4.79,19.41,0,1.312,0
06/04/2019,21:15, ,0,Pellicer Creek,0,6.2,91,0,5.89,0,7.67,0,-47.2,31.18,0,39.421,0,24.96,0,23.06,0,4.53,18.38,0,1.351,0
06/04/2019,21:30, ,0,Pellicer Creek,0,6.2,91.1,0,5.87,0,7.68,0,-47.6,31.117,0,40.5018,0,25.72,0,23.3,0,4.31,17.5,0,1.392,0
06/04/2019,21:45, ,0,Pellicer Creek,0,6.2,90,0,5.77,0,7.67,0,-47.3,31.066,0,42.0082,0,26.79,0,18.78,0,4.01,16.31,0,1.436,0
06/04/2019,22:00, ,0,Pellicer Creek,0,6.1,88.7,0,5.67,0,7.68,0,-47.6,30.998,0,43.4216,0,27.8,0,21.79,0,3.81,15.52,0,1.473,0
06/04/2019,22:15, ,0,Pellicer Creek,0,6.1,87,0,5.54,0,7.69,0,-48.1,30.859,0,44.5403,0,28.61,0,23.99,0,3.72,15.16,0,1.504,0
06/04/2019,22:30, ,0,Pellicer Creek,0,6.2,85.5,0,5.44,0,7.7,0,-48.7,30.764,0,45.4992,0,29.3,0,28.58,0,3.58,14.57,0,1.531,0
06/04/2019,22:45, ,0,Pellicer Creek,0,6.2,84.1,0,5.34,0,7.71,0,-49.5,30.665,0,46.4024,0,29.96,0,33.11,0,3.5,14.27,0,1.555,0
06/04/2019,23:00, ,0,Pellicer Creek,0,6.1,82.7,0,5.24,0,7.71,0,-49.5,30.547,0,47.0225,0,30.41,0,46.89,0,3.5,14.29,0,1.577,0
06/04/2019,23:15, ,0,Pellicer Creek,0,6.2,81.8,0,5.18,0,7.72,0,-50,30.443,0,47.6859,0,30.89,0,47.6,0,3.47,14.16,0,1.598,0
06/04/2019,23:30, ,0,Pellicer Creek,0,6.1,81.2,0,5.14,0,7.72,0,-50.3,30.353,0,48.0649,0,31.17,0,62.38,0,3.59,14.65,0,1.616,0
06/04/2019,23:45, ,0,Pellicer Creek,0,6.1,81,0,5.12,0,7.74,0,-51.1,30.276,0,48.7659,0,31.68,0,44.94,0,3.14,12.84,0,1.63,0
06/05/2019,00:00, ,0,Pellicer Creek,0,6.1,80.7,0,5.09,0,7.75,0,-52,30.224,0,49.4008,0,32.15,0,37.16,0,2.85,11.68,0,1.644,0
06/05/2019,00:15, ,0,Pellicer Creek,0,6.1,80.2,0,5.06,0,7.76,0,-52.4,30.168,0,49.8323,0,32.47,0,28.94,0,2.7,11.08,0,1.65,0
06/05/2019,00:30, ,0,Pellicer Creek,0,6.1,80,0,5.05,0,7.77,0,-52.8,30.098,0,50.1458,0,32.7,0,18.24,0,2.36,9.74,0,1.652,0
06/05/2019,00:45, ,0,Pellicer Creek,0,6.1,78.7,0,4.97,0,7.76,0,-52.6,30.062,0,50.3041,0,32.82,0,15.49,0,2.23,9.2,0,1.651,0
06/05/2019,01:00, ,0,Pellicer Creek,0,6.1,75.3,0,4.75,0,7.74,0,-51.1,30.071,0,50.5185,0,32.97,0,16.11,0,2.21,9.12,0,1.644,0
06/05/2019,01:15, ,0,Pellicer Creek,0,6.1,69,0,4.35,0,7.7,0,-48.9,30.027,0,50.3851,0,32.88,0,13.53,0,1.97,8.15,0,1.628,0
06/05/2019,01:30, ,0,Pellicer Creek,0,6.1,74,0,4.66,0,7.73,0,-50.9,30.08,0,50.5112,0,32.97,0,14.49,0,2.06,8.54,0,1.609,0
06/05/2019,01:45, ,0,Pellicer Creek,0,6.1,75.3,0,4.75,0,7.73,0,-50.8,30.083,0,50.1044,0,32.67,0,13.73,0,2.29,9.44,0,1.59,0
06/05/2019,02:00, ,0,Pellicer Creek,0,6.1,76,0,4.8,0,7.74,0,-51.1,30.122,0,49.765,0,32.42,0,16.72,0,2.33,9.61,0,1.571,0
06/05/2019,02:15, ,0,Pellicer Creek,0,6.1,74.6,0,4.73,0,7.71,0,-49.1,30.12,0,48.5643,0,31.54,0,15.76,0,2.57,10.54,0,1.555,0
06/05/2019,02:30, ,0,Pellicer Creek,0,6.1,74.1,0,4.72,0,7.68,0,-47.3,30.027,0,47.6022,0,30.85,0,16.74,0,2.74,11.22,0,1.533,0
06/05/2019,02:45, ,0,Pellicer Creek,0,6.1,73.7,0,4.7,0,7.67,0,-47,30.087,0,47.451,0,30.73,0,18.41,0,2.88,11.81,0,1.516,0
06/05/2019,03:00, ,0,Pellicer Creek,0,6.1,72.7,0,4.65,0,7.65,0,-45.6,30.074,0,47.0109,0,30.41,0,23.06,0,3.11,12.72,0,1.496,0
06/05/2019,03:15, ,0,Pellicer Creek,0,6.1,72.5,0,4.64,0,7.63,0,-44.7,30.12,0,46.3003,0,29.9,0,19.71,0,3.2,13.06,0,1.473,0
06/05/2019,03:30, ,0,Pellicer Creek,0,6.1,72.6,0,4.66,0,7.62,0,-43.8,30.146,0,45.4176,0,29.26,0,19.23,0,3.16,12.92,0,1.451,0
06/05/2019,03:45, ,0,Pellicer Creek,0,6.1,71.7,0,4.62,0,7.59,0,-42.3,30.142,0,44.5984,0,28.67,0,18.99,0,3.23,13.19,0,1.425,0
06/05/2019,04:00, ,0,Pellicer Creek,0,6.1,70.6,0,4.57,0,7.56,0,-40.5,30.123,0,43.6361,0,27.98,0,18.74,0,3.5,14.27,0,1.398,0
06/05/2019,04:15, ,0,Pellicer Creek,0,6.1,70.1,0,4.55,0,7.54,0,-39.2,30.13,0,42.5667,0,27.22,0,17.52,0,3.57,14.55,0,1.374,0
06/05/2019,04:30, ,0,Pellicer Creek,0,6.1,69.4,0,4.53,0,7.52,0,-37.8,30.119,0,41.6434,0,26.56,0,16.72,0,3.58,14.59,0,1.352,0
06/05/2019,04:45, ,0,Pellicer Creek,0,6.1,68.8,0,4.5,0,7.5,0,-36.6,30.103,0,40.8689,0,26.01,0,15.34,0,3.7,15.09,0,1.325,0
06/05/2019,05:00, ,0,Pellicer Creek,0,6.1,68.2,0,4.47,0,7.49,0,-36.1,30.125,0,40.1802,0,25.52,0,14.48,0,3.85,15.68,0,1.302,0
06/05/2019,05:15, ,0,Pellicer Creek,0,6.1,68,0,4.48,0,7.48,0,-35.4,30.097,0,39.2807,0,24.89,0,13.94,0,4.05,16.46,0,1.277,0
06/05/2019,05:30, ,0,Pellicer Creek,0,6.1,68.1,0,4.5,0,7.47,0,-35,30.118,0,38.5321,0,24.36,0,11.5,0,4.22,17.13,0,1.255,0
06/05/2019,05:45, ,0,Pellicer Creek,0,6.1,67.4,0,4.45,0,7.46,0,-34.4,30.112,0,38.1841,0,24.12,0,25.97,0,4.36,17.72,0,1.234,0
06/05/2019,06:00, ,0,Pellicer Creek,0,6.1,66.4,0,4.39,0,7.45,0,-34,30.122,0,38.121,0,24.07,0,11.95,0,4.09,16.63,0,1.213,0
06/05/2019,06:15, ,0,Pellicer Creek,0,6.1,66.4,0,4.4,0,7.45,0,-33.7,30.134,0,37.6106,0,23.72,0,14.92,0,4.36,17.7,0,1.195,0
06/05/2019,06:30, ,0,Pellicer Creek,0,6.1,65.6,0,4.35,0,7.44,0,-32.9,30.131,0,37.126,0,23.38,0,10.49,0,4.27,17.37,0,1.176,0
06/05/2019,06:45, ,0,Pellicer Creek,0,6.1,65.5,0,4.35,0,7.43,0,-32.3,30.096,0,36.7204,0,23.1,0,13.25,0,4.57,18.56,0,1.161,0
06/05/2019,07:00, ,0,Pellicer Creek,0,6.1,64.8,0,4.32,0,7.42,0,-31.7,30.096,0,36.1599,0,22.7,0,11.94,0,4.37,17.75,0,1.146,0
06/05/2019,07:15, ,0,Pellicer Creek,0,6.1,61.4,0,4.09,0,7.38,0,-29.8,30.094,0,36.0608,0,22.64,0,12.78,0,4.23,17.17,0,1.133,0
06/05/2019,07:30, ,0,Pellicer Creek,0,6.1,62.3,0,4.15,0,7.4,0,-30.5,30.085,0,36.0024,0,22.6,0,9.18,0,4.52,18.36,0,1.122,0
06/05/2019,07:45, ,0,Pellicer Creek,0,6.1,60.5,0,4.04,0,7.38,0,-29.6,30.108,0,35.9829,0,22.58,0,10.32,0,4.72,19.13,0,1.113,0
06/05/2019,08:00, ,0,Pellicer Creek,0,6.1,49.7,0,3.32,0,7.3,0,-24.9,30.108,0,35.6493,0,22.35,0,9.55,0,3.84,15.64,0,1.111,0
