Date,Time,F_Record,Time(Fract.Sec),SiteName,FaultCode,Battery,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,pH,F_pH,pHmV,Turb,F_Turb,ChlorophyllRFU,ChlFluor,F_ChlFluor,Depth,F_Depth
09/26/2019,08:15, ,0,Fort Matanzas,0,5.8,27.427,<0> (CND),53.5891,<0> (CND),35.32,<0> (CND),80.7,<0> (CND),5.24,<0> (CND),7.88,<0> (CND),-63.8,8.01,<0> (CND),1.41,5.83,<0> (CND),2.561,<0> (CND)
09/26/2019,08:30, ,0,Fort Matanzas,0,5.7,27.4,0,53.6012,0,35.33,0,80.6,0,5.23,0,7.88,0,-63.7,7.99,0,1.47,6.07,0,2.512,0
09/26/2019,08:45, ,0,Fort Matanzas,0,5.8,27.375,0,53.6006,0,35.33,0,80.6,0,5.24,0,7.87,0,-63.2,7.59,0,1.43,5.92,0,2.457,0
09/26/2019,09:00, ,0,Fort Matanzas,0,5.7,27.343,0,53.5983,0,35.33,0,80.5,0,5.23,0,7.87,0,-63.2,7.21,0,1.54,6.38,0,2.398,0
09/26/2019,09:15, ,0,Fort Matanzas,0,5.8,27.333,0,53.598,0,35.33,0,80.6,0,5.24,0,7.87,0,-63,7.1,0,1.39,5.76,0,2.345,0
09/26/2019,09:30, ,0,Fort Matanzas,0,5.8,27.335,0,53.587,0,35.33,0,80.7,0,5.25,0,7.87,0,-63.3,6.62,0,1.43,5.94,0,2.289,0
09/26/2019,09:45, ,0,Fort Matanzas,0,5.8,27.338,0,53.5869,0,35.33,0,80.4,0,5.23,0,7.87,0,-63.3,5.89,0,1.38,5.71,0,2.236,0
09/26/2019,10:00, ,0,Fort Matanzas,0,5.8,27.616,0,53.5861,0,35.32,0,86.8,0,5.61,0,7.93,0,-66.5,8.26,0,1.76,7.28,0,2.183,0
09/26/2019,10:15, ,0,Fort Matanzas,0,5.7,27.543,0,53.5699,0,35.31,0,80.5,0,5.21,0,7.93,0,-66.7,5.2,0,1.36,5.63,0,2.126,0
09/26/2019,10:30, ,0,Fort Matanzas,0,5.8,27.496,0,53.584,0,35.32,0,82,0,5.32,0,7.9,0,-65.1,5.41,0,1.6,6.6,0,2.073,0
09/26/2019,10:45, ,0,Fort Matanzas,0,5.8,27.519,0,53.5919,0,35.32,0,83.5,0,5.41,0,7.89,0,-64.4,5.59,0,1.75,7.23,0,2.022,0
09/26/2019,11:00, ,0,Fort Matanzas,0,5.7,27.339,0,53.5772,0,35.32,0,78.2,0,5.09,0,7.87,0,-63.2,5.77,0,1.57,6.48,0,1.969,0
09/26/2019,11:15, ,0,Fort Matanzas,0,5.8,27.482,0,53.5795,0,35.32,0,80.4,0,5.22,0,7.86,0,-62.7,5.86,0,1.47,6.07,0,1.918,0
09/26/2019,11:30, ,0,Fort Matanzas,0,5.7,27.429,0,53.5772,0,35.32,0,79.9,0,5.19,0,7.86,0,-62.7,5.8,0,1.62,6.69,0,1.87,0
09/26/2019,11:45, ,0,Fort Matanzas,0,5.8,27.465,0,53.5701,0,35.31,0,81,0,5.26,0,7.87,0,-62.9,5.43,0,1.59,6.58,0,1.822,0
09/26/2019,12:00, ,0,Fort Matanzas,0,5.8,27.53,0,53.5931,0,35.32,0,82.2,0,5.32,0,7.87,0,-63.1,6.11,0,1.7,7.01,0,1.775,0
09/26/2019,12:15, ,0,Fort Matanzas,0,5.7,27.775,0,53.6595,0,35.37,0,80.3,0,5.18,0,7.83,0,-60.9,7.59,0,1.59,6.57,0,1.728,0
09/26/2019,12:30, ,0,Fort Matanzas,0,5.8,27.895,0,53.6646,0,35.37,0,84,0,5.41,0,7.85,0,-62.1,6.58,0,1.74,7.17,0,1.686,0
09/26/2019,12:45, ,0,Fort Matanzas,0,5.7,28.007,0,53.6633,0,35.36,0,87.4,0,5.62,0,7.88,0,-63.9,6.25,0,1.74,7.2,0,1.649,0
09/26/2019,13:00, ,0,Fort Matanzas,0,5.8,27.868,0,53.6834,0,35.38,0,87.2,0,5.62,0,7.89,0,-64.1,7.78,0,1.9,7.83,0,1.623,0
09/26/2019,13:15, ,0,Fort Matanzas,0,5.8,27.794,0,53.6875,0,35.39,0,86.6,0,5.58,0,7.88,0,-64,12.62,0,2.14,8.82,0,1.604,0
09/26/2019,13:30, ,0,Fort Matanzas,0,5.7,28.1,0,53.9398,0,35.57,0,91.4,0,5.86,0,7.93,0,-67.1,24.14,0,3.08,12.64,0,1.61,0
09/26/2019,13:45, ,0,Fort Matanzas,0,5.8,28.164,0,53.8673,0,35.51,0,94.5,0,6.06,0,7.95,0,-68.2,25.1,0,3.92,16.07,0,1.631,0
09/26/2019,14:00, ,0,Fort Matanzas,0,5.7,28.009,0,53.8148,0,35.48,0,93.4,0,6,0,7.95,0,-68,21.86,0,3.78,15.52,0,1.665,0
09/26/2019,14:15, ,0,Fort Matanzas,0,5.8,28.077,0,53.7945,0,35.46,0,97.8,0,6.28,0,7.98,0,-69.8,22.18,0,4.14,16.99,0,1.707,0
09/26/2019,14:30, ,0,Fort Matanzas,0,5.8,28.102,0,53.5444,0,35.27,0,98.2,0,6.3,0,7.96,0,-68.7,20.8,0,4.14,16.97,0,1.762,0
09/26/2019,14:45, ,0,Fort Matanzas,0,5.7,28.159,0,53.7828,0,35.45,0,100.6,0,6.45,0,7.99,0,-70.6,19.78,0,4.4,18.02,0,1.826,0
09/26/2019,15:00, ,0,Fort Matanzas,0,5.8,28.108,0,53.7279,0,35.41,0,99.4,0,6.37,0,7.98,0,-70.1,20.59,0,4.35,17.85,0,1.893,0
09/26/2019,15:15, ,0,Fort Matanzas,0,5.7,28.064,0,53.826,0,35.48,0,98.7,0,6.34,0,7.99,0,-70.5,18.85,0,4.27,17.49,0,1.968,0
09/26/2019,15:30, ,0,Fort Matanzas,0,5.7,28.076,0,53.9013,0,35.54,0,99.4,0,6.37,0,8,0,-71,18.5,0,3.88,15.92,0,2.046,0
09/26/2019,15:45, ,0,Fort Matanzas,0,5.8,28.136,0,53.9741,0,35.59,0,100.2,0,6.42,0,8.01,0,-71.5,20.25,0,4.77,19.53,0,2.125,0
09/26/2019,16:00, ,0,Fort Matanzas,0,5.7,28.289,0,54.0348,0,35.63,0,102.3,0,6.54,0,8.02,0,-72.5,22.1,0,4.56,18.7,0,2.205,0
09/26/2019,16:15, ,0,Fort Matanzas,0,5.8,28.328,0,54.0775,0,35.66,0,104.9,0,6.7,0,8.04,0,-73.6,21.17,0,4.8,19.65,0,2.283,0
09/26/2019,16:30, ,0,Fort Matanzas,0,5.7,28.27,0,54.1069,0,35.68,0,103.2,0,6.59,0,8.04,0,-73.5,26.64,0,5.13,21.03,0,2.365,0
09/26/2019,16:45, ,0,Fort Matanzas,0,5.8,28.284,0,54.1403,0,35.71,0,102.9,0,6.57,0,8.05,0,-73.8,28.77,0,5.62,22.99,0,2.45,0
09/26/2019,17:00, ,0,Fort Matanzas,0,5.8,28.251,0,54.1633,0,35.73,0,102.2,0,6.53,0,8.05,0,-74.2,35.04,0,5.64,23.1,0,2.53,0
09/26/2019,17:15, ,0,Fort Matanzas,0,5.7,28.152,0,54.1982,0,35.76,0,101,0,6.46,0,8.06,0,-74.6,16.91,0,4.56,18.7,0,2.607,0
09/26/2019,17:30, ,0,Fort Matanzas,0,5.7,28.055,0,54.201,0,35.76,0,99.7,0,6.39,0,8.06,0,-74.7,15.68,0,4.4,18.02,0,2.679,0
09/26/2019,17:45, ,0,Fort Matanzas,0,5.7,28.017,0,54.2021,0,35.76,0,97.3,0,6.24,0,8.07,0,-75,12.41,0,5.63,23.04,0,2.739,0
09/26/2019,18:00, ,0,Fort Matanzas,0,5.7,27.97,0,54.2053,0,35.77,0,94.8,0,6.08,0,8.07,0,-75.4,9.8,0,4.09,16.75,0,2.799,0
09/26/2019,18:15, ,0,Fort Matanzas,0,5.8,27.972,0,54.2047,0,35.77,0,71.9,0,4.61,0,8.07,0,-75,10,0,3.1,12.74,0,2.848,0
09/26/2019,18:30, ,0,Fort Matanzas,0,5.7,27.963,0,54.2059,0,35.77,0,85,0,5.46,0,8.05,0,-74.1,8.6,0,2.59,10.64,0,2.893,0
09/26/2019,18:45, ,0,Fort Matanzas,0,5.7,27.961,0,54.1961,0,35.76,0,96.2,0,6.18,0,8.06,0,-74.4,12.12,0,3.73,15.29,0,2.924,0
09/26/2019,19:00, ,0,Fort Matanzas,0,5.7,28.017,0,54.188,0,35.75,0,98.4,0,6.31,0,8.06,0,-74.6,13.65,0,4.25,17.44,0,2.943,0
09/26/2019,19:15, ,0,Fort Matanzas,0,5.7,28.15,0,54.1565,0,35.72,0,99.5,0,6.37,0,8.05,0,-73.8,16.32,0,4.24,17.4,0,2.95,0
