Date,Time,F_Record,Time(Fract.Sec),SiteName,FaultCode,Battery,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,pH,F_pH,pHmV,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,Turb,F_Turb,ChlorophyllRFU,ChlFluor,F_ChlFluor,Depth,F_Depth
06/19/2019,10:45, ,0,Pellicer Creek,0,6,73.4,<0> (CND),5.17,<0> (CND),7.43,<0> (CND),-66.4,28.953,<0> (CND),26.2443,<0> (CND),15.97,<0> (CND),14.35,<0> (CND),5.77,23.4,<0> (CND),1.069,<0> (CND)
06/19/2019,11:00, ,0,Pellicer Creek,0,6,68.5,0,4.8,0,7.4,0,-64.7,28.93,0,27.8797,0,17.06,0,17.91,0,6.09,24.68,0,1.095,0
06/19/2019,11:15, ,0,Pellicer Creek,0,6,69.7,0,4.86,0,7.42,0,-65.9,29.065,0,28.3963,0,17.41,0,16.26,0,5.93,24.02,0,1.122,0
06/19/2019,11:30, ,0,Pellicer Creek,0,6,70.2,0,4.88,0,7.42,0,-65.9,29.064,0,29.0844,0,17.87,0,16.57,0,6.79,27.52,0,1.147,0
06/19/2019,11:45, ,0,Pellicer Creek,0,6,69.9,0,4.85,0,7.42,0,-65.9,29.103,0,29.5443,0,18.18,0,17.29,0,6.47,26.2,0,1.165,0
06/19/2019,12:00, ,0,Pellicer Creek,0,6,76.1,0,5.27,0,7.45,0,-68.1,29.294,0,29.594,0,18.21,0,14.8,0,6.66,26.97,0,1.186,0
06/19/2019,12:15, ,0,Pellicer Creek,0,6,83.5,0,5.75,0,7.49,0,-70.1,29.602,0,29.8884,0,18.41,0,14.31,0,7.57,30.66,0,1.195,0
06/19/2019,12:30, ,0,Pellicer Creek,0,6,76.9,0,5.29,0,7.42,0,-66.1,29.479,0,30.4771,0,18.81,0,12.67,0,6.39,25.91,0,1.193,0
06/19/2019,12:45, ,0,Pellicer Creek,0,6,70.5,0,4.84,0,7.4,0,-64.6,29.394,0,30.9192,0,19.11,0,12.77,0,6.91,27.99,0,1.186,0
06/19/2019,13:00, ,0,Pellicer Creek,0,6,60.6,0,4.18,0,7.34,0,-61,29.196,0,30.8517,0,19.07,0,10.85,0,5.91,23.95,0,1.177,0
06/19/2019,13:15, ,0,Pellicer Creek,0,6,68.8,0,4.73,0,7.4,0,-64.8,29.165,0,32.0247,0,19.87,0,17.58,0,7.55,30.58,0,1.172,0
06/19/2019,13:30, ,0,Pellicer Creek,0,5.9,76.3,0,5.28,0,7.47,0,-68.7,29.355,0,29.311,0,18.02,0,26.58,0,7.75,31.37,0,1.122,0
06/19/2019,13:45, ,0,Pellicer Creek,0,6,81.3,0,5.66,0,7.49,0,-70.3,29.614,0,26.9095,0,16.4,0,26.84,0,7.78,31.49,0,1.122,0
06/19/2019,14:00, ,0,Pellicer Creek,0,6,82.7,0,5.76,0,7.49,0,-70.1,29.716,0,25.9023,0,15.72,0,14.49,0,7.31,29.6,0,1.134,0
06/19/2019,14:15, ,0,Pellicer Creek,0,6,81,0,5.63,0,7.48,0,-69.9,29.493,0,27.3313,0,16.68,0,13.42,0,7.47,30.27,0,1.107,0
06/19/2019,14:30, ,0,Pellicer Creek,0,5.9,80.6,0,5.65,0,7.49,0,-70.1,29.474,0,25.3062,0,15.33,0,11.41,0,7.58,30.7,0,1.083,0
06/19/2019,14:45, ,0,Pellicer Creek,0,6,79.1,0,5.52,0,7.45,0,-67.7,29.615,0,26.1075,0,15.86,0,11.13,0,6.55,26.54,0,1.079,0
06/19/2019,15:00, ,0,Pellicer Creek,0,6,81.1,0,5.68,0,7.47,0,-69.2,29.661,0,24.7853,0,14.98,0,10.12,0,6.89,27.91,0,1.067,0
06/19/2019,15:15, ,0,Pellicer Creek,0,6,77.2,0,5.4,0,7.43,0,-66.6,29.538,0,25.7163,0,15.6,0,10.01,0,7.46,30.22,0,1.053,0
06/19/2019,15:30, ,0,Pellicer Creek,0,5.9,77.9,0,5.45,0,7.44,0,-67.2,29.498,0,25.8367,0,15.69,0,10.02,0,7.64,30.95,0,1.03,0
