Date,Time,F_Record,Time(Fract.Sec),SiteName,FaultCode,Battery,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,pH,F_pH,pHmV,Turb,F_Turb,ChlorophyllRFU,ChlFluor,F_ChlFluor,Depth,F_Depth
07/30/2019,11:00, ,0,Fort Matanzas,0,5.7,28.773,<0> (CND),51.4268,<0> (CND),33.68,<0> (CND),74.7,<0> (CND),4.78,<0> (CND),7.85,<0> (CND),-55,5.41,<0> (CND),1.18,4.73,<0> (CND),2.119,<0> (CND)
07/30/2019,11:15, ,0,Fort Matanzas,0,5.7,28.87,0,51.2919,0,33.58,0,73.2,0,4.68,0,7.81,0,-52.9,5.17,0,1.15,4.6,0,2.07,0
07/30/2019,11:30, ,0,Fort Matanzas,0,5.7,28.877,0,51.3079,0,33.59,0,73.7,0,4.71,0,7.81,0,-52.7,5.32,0,1,3.99,0,2.017,0
07/30/2019,11:45, ,0,Fort Matanzas,0,5.7,28.882,0,51.2361,0,33.54,0,76,0,4.86,0,7.82,0,-53.3,4.61,0,1.13,4.52,0,1.97,0
07/30/2019,12:00, ,0,Fort Matanzas,0,5.7,28.881,0,51.4226,0,33.68,0,75.3,0,4.82,0,7.82,0,-53.5,5.11,0,1.07,4.29,0,1.925,0
07/30/2019,12:15, ,0,Fort Matanzas,0,5.7,28.892,0,51.4626,0,33.71,0,76.8,0,4.91,0,7.84,0,-54.3,5.52,0,1.24,4.98,0,1.879,0
07/30/2019,12:30, ,0,Fort Matanzas,0,5.7,29.039,0,51.5167,0,33.74,0,79.9,0,5.1,0,7.85,0,-55.2,5.03,0,1.29,5.17,0,1.835,0
07/30/2019,12:45, ,0,Fort Matanzas,0,5.7,29.375,0,51.7677,0,33.92,0,83.4,0,5.28,0,7.85,0,-55.4,6.11,0,1.24,4.96,0,1.793,0
07/30/2019,13:00, ,0,Fort Matanzas,0,5.7,29.6,0,51.8234,0,33.95,0,81.8,0,5.17,0,7.83,0,-54.3,6.22,0,1.24,4.96,0,1.753,0
07/30/2019,13:15, ,0,Fort Matanzas,0,5.7,29.564,0,51.7947,0,33.93,0,86.5,0,5.47,0,7.88,0,-57.2,6.17,0,1.3,5.2,0,1.716,0
07/30/2019,13:30, ,0,Fort Matanzas,0,5.7,29.921,0,52.044,0,34.1,0,88.2,0,5.54,0,7.88,0,-57,7.36,0,1.3,5.19,0,1.69,0
07/30/2019,13:45, ,0,Fort Matanzas,0,5.7,29.436,0,52.1695,0,34.21,0,86.5,0,5.47,0,7.9,0,-58.5,7.44,0,1.4,5.62,0,1.674,0
07/30/2019,14:00, ,0,Fort Matanzas,0,5.7,29.387,0,52.5138,0,34.47,0,93.6,0,5.91,0,7.96,0,-61.5,12.54,0,1.66,6.66,0,1.687,0
07/30/2019,14:15, ,0,Fort Matanzas,0,5.7,29.324,0,52.5458,0,34.49,0,99.6,0,6.3,0,8,0,-64.1,12.28,0,1.97,7.9,0,1.705,0
07/30/2019,14:30, ,0,Fort Matanzas,0,5.7,29.345,0,52.1204,0,34.18,0,99.7,0,6.31,0,7.99,0,-63.8,10.07,0,1.88,7.51,0,1.746,0
07/30/2019,14:45, ,0,Fort Matanzas,0,5.7,29.267,0,51.8895,0,34.01,0,100.6,0,6.38,0,8.01,0,-64.7,8.27,0,1.84,7.38,0,1.787,0
07/30/2019,15:00, ,0,Fort Matanzas,0,5.7,29.455,0,51.0294,0,33.37,0,96.8,0,6.14,0,7.98,0,-62.8,10.33,0,2.17,8.71,0,1.845,0
07/30/2019,15:15, ,0,Fort Matanzas,0,5.7,29.423,0,51.071,0,33.4,0,97.4,0,6.18,0,7.98,0,-63.2,9.24,0,2.01,8.05,0,1.915,0
07/30/2019,15:30, ,0,Fort Matanzas,0,5.7,29.452,0,50.9842,0,33.34,0,96.9,0,6.15,0,7.98,0,-63,10.08,0,1.98,7.92,0,1.999,0
07/30/2019,15:45, ,0,Fort Matanzas,0,5.7,29.392,0,51.22,0,33.51,0,98,0,6.22,0,8,0,-64,8.34,0,1.94,7.77,0,2.093,0
07/30/2019,16:00, ,0,Fort Matanzas,0,5.7,29.262,0,51.6284,0,33.82,0,100.2,0,6.36,0,8.02,0,-65.2,7.83,0,1.66,6.64,0,2.187,0
07/30/2019,16:15, ,0,Fort Matanzas,0,5.7,29.221,0,52.0519,0,34.13,0,102.2,0,6.49,0,8.05,0,-67.1,6.83,0,1.54,6.18,0,2.266,0
07/30/2019,16:30, ,0,Fort Matanzas,0,5.7,29.274,0,52.1839,0,34.23,0,102.5,0,6.49,0,8.06,0,-67.6,6.24,0,1.55,6.22,0,2.349,0
07/30/2019,16:45, ,0,Fort Matanzas,0,5.7,29.175,0,52.4901,0,34.46,0,103.2,0,6.54,0,8.07,0,-68.5,4.57,0,1.35,5.41,0,2.433,0
07/30/2019,17:00, ,0,Fort Matanzas,0,5.7,29.018,0,52.7811,0,34.68,0,104,0,6.6,0,8.09,0,-69.5,3.65,0,1.12,4.47,0,2.521,0
07/30/2019,17:15, ,0,Fort Matanzas,0,5.7,28.907,0,52.9146,0,34.78,0,103,0,6.55,0,8.09,0,-69.6,3.44,0,1.14,4.55,0,2.607,0
07/30/2019,17:30, ,0,Fort Matanzas,0,5.7,28.804,0,52.9817,0,34.83,0,101.5,0,6.46,0,8.09,0,-69.6,3.38,0,1.02,4.06,0,2.683,0
07/30/2019,17:45, ,0,Fort Matanzas,0,5.7,28.757,0,53.0177,0,34.86,0,97,0,6.18,0,8.08,0,-68.9,2.84,0,0.73,2.94,0,2.751,0
07/30/2019,18:00, ,0,Fort Matanzas,0,5.7,28.678,0,53.0652,0,34.9,0,95.8,0,6.1,0,8.09,0,-69.2,2.7,0,0.95,3.79,0,2.815,0
07/30/2019,18:15, ,0,Fort Matanzas,0,5.7,28.625,0,53.1041,0,34.93,0,95.7,0,6.1,0,8.09,0,-69.6,2.3,0,1.15,4.6,0,2.877,0
07/30/2019,18:30, ,0,Fort Matanzas,0,5.7,28.611,0,53.1203,0,34.94,0,87.9,0,5.61,0,8.06,0,-67.5,1.63,0,0.48,1.93,0,2.935,0
07/30/2019,18:45, ,0,Fort Matanzas,0,5.7,28.612,0,53.1247,0,34.94,0,76.2,0,4.86,0,8.03,0,-65.6,1.61,0,0.32,1.27,0,2.987,0
07/30/2019,19:00, ,0,Fort Matanzas,0,5.7,28.595,0,53.1352,0,34.95,0,88,0,5.62,0,8.07,0,-68.4,1.8,0,0.73,2.92,0,3.027,0
07/30/2019,19:15, ,0,Fort Matanzas,0,5.7,28.62,0,53.1067,0,34.93,0,103,0,6.57,0,8.11,0,-70.8,2.49,0,0.95,3.78,0,3.059,0
07/30/2019,19:30, ,0,Fort Matanzas,0,5.7,28.669,0,53.0535,0,34.89,0,104.6,0,6.67,0,8.12,0,-71.1,3.03,0,1.16,4.64,0,3.084,0
07/30/2019,19:45, ,0,Fort Matanzas,0,5.7,28.746,0,52.9876,0,34.84,0,104.2,0,6.64,0,8.11,0,-70.7,3.29,0,1.19,4.75,0,3.096,0
07/30/2019,20:00, ,0,Fort Matanzas,0,5.7,29.027,0,52.4928,0,34.46,0,101.6,0,6.46,0,8.08,0,-68.8,4.69,0,1.34,5.36,0,3.097,0
07/30/2019,20:15, ,0,Fort Matanzas,0,5.7,29.613,0,51.5905,0,33.78,0,94.5,0,5.97,0,7.96,0,-61.7,5.68,0,1.9,7.61,0,3.081,0
07/30/2019,20:30, ,0,Fort Matanzas,0,5.7,29.85,0,51.1663,0,33.46,0,91.7,0,5.78,0,7.91,0,-58.8,6.61,0,2.06,8.24,0,3.049,0
07/30/2019,20:45, ,0,Fort Matanzas,0,5.7,29.966,0,50.8105,0,33.19,0,91.4,0,5.76,0,7.89,0,-57.9,8.7,0,2.24,8.97,0,3.001,0
07/30/2019,21:00, ,0,Fort Matanzas,0,5.7,30.035,0,50.5351,0,32.99,0,89.4,0,5.63,0,7.87,0,-56.3,9.24,0,2.46,9.84,0,2.954,0
07/30/2019,21:15, ,0,Fort Matanzas,0,5.7,30.105,0,50.3114,0,32.82,0,87.7,0,5.53,0,7.84,0,-54.7,10.91,0,2.33,9.34,0,2.897,0
07/30/2019,21:30, ,0,Fort Matanzas,0,5.7,30.162,0,50.0264,0,32.61,0,86.5,0,5.45,0,7.82,0,-53.4,13.3,0,2.66,10.66,0,2.847,0
07/30/2019,21:45, ,0,Fort Matanzas,0,5.7,30.169,0,49.8098,0,32.45,0,85.7,0,5.41,0,7.79,0,-51.8,14.29,0,2.8,11.19,0,2.788,0
07/30/2019,22:00, ,0,Fort Matanzas,0,5.7,30.156,0,49.6659,0,32.35,0,84.3,0,5.32,0,7.78,0,-51.4,15.19,0,2.89,11.58,0,2.719,0
07/30/2019,22:15, ,0,Fort Matanzas,0,5.7,30.132,0,49.5737,0,32.28,0,83.8,0,5.29,0,7.77,0,-50.7,16.26,0,2.35,9.42,0,2.663,0
07/30/2019,22:30, ,0,Fort Matanzas,0,5.7,30.107,0,49.5525,0,32.26,0,83.2,0,5.26,0,7.77,0,-50.5,14.89,0,2.61,10.44,0,2.601,0
07/30/2019,22:45, ,0,Fort Matanzas,0,5.7,30.03,0,49.7796,0,32.43,0,81.4,0,5.15,0,7.78,0,-50.9,13.44,0,2.59,10.37,0,2.548,0
07/30/2019,23:00, ,0,Fort Matanzas,0,5.7,29.974,0,49.8163,0,32.46,0,80,0,5.06,0,7.78,0,-50.9,10.5,0,2.16,8.63,0,2.49,0
