Date,Time,F_Record,Time(Fract.Sec),SiteName,FaultCode,Battery,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,pH,F_pH,pHmV,Turb,F_Turb,Depth,F_Depth
08/13/2019,08:00, ,0,Fort Matanzas,0,6.1,29.539,<0> (CND),53.9399,<0> (CND),35.52,<0> (CND),84.5,<0> (CND),5.29,<0> (CND),7.98,<0> (CND),-78.2,4.52,<0> (CND),2.527,<0> (CND)
08/13/2019,08:15, ,0,Fort Matanzas,0,6.1,29.869,0,53.4945,0,35.18,0,79.7,0,4.98,0,7.92,0,-74.6,5.16,0,2.501,0
08/13/2019,08:30, ,0,Fort Matanzas,0,6.1,30.118,0,53.1485,0,34.91,0,77.8,0,4.84,0,7.89,0,-73,5.83,0,2.463,0
08/13/2019,08:45, ,0,Fort Matanzas,0,6.1,30.295,0,52.8757,0,34.7,0,77,0,4.79,0,7.87,0,-71.8,6.24,0,2.42,0
08/13/2019,09:00, ,0,Fort Matanzas,0,6.1,30.401,0,52.655,0,34.54,0,76.3,0,4.74,0,7.86,0,-71,6.68,0,2.385,0
08/13/2019,09:15, ,0,Fort Matanzas,0,6.1,30.455,0,52.5273,0,34.44,0,75.4,0,4.68,0,7.84,0,-70.2,6.97,0,2.34,0
08/13/2019,09:30, ,0,Fort Matanzas,0,6.1,30.548,0,52.3094,0,34.27,0,74.9,0,4.65,0,7.83,0,-69.4,7.41,0,2.296,0
08/13/2019,09:45, ,0,Fort Matanzas,0,6.1,30.629,0,52.1117,0,34.13,0,74.3,0,4.61,0,7.81,0,-68.3,7.39,0,2.244,0
08/13/2019,10:00, ,0,Fort Matanzas,0,6.1,30.697,0,51.9866,0,34.03,0,74.5,0,4.62,0,7.81,0,-68.1,7.11,0,2.19,0
08/13/2019,10:15, ,0,Fort Matanzas,0,6,30.759,0,52.0824,0,34.1,0,76.1,0,4.71,0,7.82,0,-68.6,7.01,0,2.138,0
08/13/2019,10:30, ,0,Fort Matanzas,0,6.1,30.729,0,52.4342,0,34.36,0,77.2,0,4.77,0,7.84,0,-70.1,7.45,0,2.091,0
08/13/2019,10:45, ,0,Fort Matanzas,0,6.1,30.85,0,52.643,0,34.51,0,81.2,0,5.01,0,7.86,0,-71.3,7.15,0,2.045,0
08/13/2019,11:00, ,0,Fort Matanzas,0,6,30.898,0,52.5444,0,34.44,0,80.7,0,4.98,0,7.85,0,-70.8,6.74,0,1.995,0
08/13/2019,11:15, ,0,Fort Matanzas,0,6,31.136,0,53.2869,0,34.98,0,87.9,0,5.39,0,7.9,0,-73.8,8.26,0,1.942,0
08/13/2019,11:30, ,0,Fort Matanzas,0,6,30.92,0,52.7374,0,34.58,0,73.4,0,4.52,0,7.83,0,-69.4,5.38,0,1.897,0
08/13/2019,11:45, ,0,Fort Matanzas,0,6,30.84,0,52.4341,0,34.36,0,73.1,0,4.52,0,7.81,0,-68.3,4.79,0,1.851,0
