Date,Time,F_Record,Time(Fract.Sec),SiteName,FaultCode,Battery,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,pH,F_pH,pHmV,Turb,F_Turb,Depth,F_Depth
09/11/2019,07:30, ,0,Fort Matanzas,0,5.8,28.881,<0> (CND),53.4366,<0> (CND),35.17,<0> (CND),89.8,<0> (CND),5.69,<0> (CND),8,<0> (CND),-83.4,5.56,<0> (CND),2.595,<0> (CND)
09/11/2019,07:45, ,0,Fort Matanzas,0,5.9,28.905,0,53.4277,0,35.16,0,89.4,0,5.67,0,8,0,-83.3,5.95,0,2.578,0
09/11/2019,08:00, ,0,Fort Matanzas,0,5.9,28.968,0,53.3527,0,35.1,0,88.6,0,5.61,0,7.98,0,-82.3,5.99,0,2.552,0
09/11/2019,08:15, ,0,Fort Matanzas,0,5.9,29.216,0,53.0269,0,34.85,0,86.1,0,5.44,0,7.94,0,-80,5.98,0,2.514,0
09/11/2019,08:30, ,0,Fort Matanzas,0,5.9,29.3,0,52.8884,0,34.75,0,85.4,0,5.39,0,7.93,0,-79.1,6.25,0,2.478,0
09/11/2019,08:45, ,0,Fort Matanzas,0,5.9,29.351,0,52.8065,0,34.68,0,85.1,0,5.37,0,7.92,0,-78.8,6.78,0,2.439,0
09/11/2019,09:00, ,0,Fort Matanzas,0,5.9,29.422,0,52.6616,0,34.57,0,85.3,0,5.38,0,7.91,0,-78.2,7.32,0,2.397,0
09/11/2019,09:15, ,0,Fort Matanzas,0,5.9,29.472,0,52.5307,0,34.48,0,85.4,0,5.39,0,7.9,0,-77.6,9.45,0,2.349,0
09/11/2019,09:30, ,0,Fort Matanzas,0,5.9,29.516,0,52.4418,0,34.41,0,84.9,0,5.36,0,7.89,0,-77.1,7.94,0,2.298,0
09/11/2019,09:45, ,0,Fort Matanzas,0,5.8,29.55,0,52.3829,0,34.36,0,85.2,0,5.37,0,7.89,0,-76.6,7.36,0,2.249,0
09/11/2019,10:00, ,0,Fort Matanzas,0,5.8,29.588,0,52.3396,0,34.33,0,85.5,0,5.39,0,7.89,0,-76.7,7.07,0,2.199,0
09/11/2019,10:15, ,0,Fort Matanzas,0,5.9,29.584,0,52.4702,0,34.43,0,85.6,0,5.39,0,7.89,0,-77,7.1,0,2.153,0
09/11/2019,10:30, ,0,Fort Matanzas,0,5.8,29.61,0,52.6141,0,34.53,0,86.1,0,5.42,0,7.9,0,-77.6,7.11,0,2.105,0
09/11/2019,10:45, ,0,Fort Matanzas,0,5.8,29.655,0,52.8987,0,34.74,0,88,0,5.53,0,7.92,0,-78.5,6.73,0,2.056,0
09/11/2019,11:00, ,0,Fort Matanzas,0,5.8,29.741,0,53.2099,0,34.97,0,94.3,0,5.91,0,7.95,0,-80.6,6.9,0,2.005,0
09/11/2019,11:15, ,0,Fort Matanzas,0,5.8,29.604,0,52.9547,0,34.78,0,85.7,0,5.38,0,7.92,0,-78.6,6.82,0,1.964,0
09/11/2019,11:30, ,0,Fort Matanzas,0,5.8,29.559,0,52.6844,0,34.59,0,88.3,0,5.56,0,7.9,0,-77.5,5.24,0,1.924,0
09/11/2019,11:45, ,0,Fort Matanzas,0,5.8,29.393,0,52.6666,0,34.58,0,84,0,5.31,0,7.88,0,-76.4,5.49,0,1.881,0
09/11/2019,12:00, ,0,Fort Matanzas,0,5.8,29.403,0,52.6315,0,34.55,0,84.5,0,5.33,0,7.88,0,-76.1,5.3,0,1.839,0
09/11/2019,12:15, ,0,Fort Matanzas,0,5.8,29.491,0,52.6553,0,34.57,0,86.9,0,5.48,0,7.88,0,-76.6,6.32,0,1.8,0
09/11/2019,12:30, ,0,Fort Matanzas,0,5.8,29.665,0,52.681,0,34.58,0,90.9,0,5.71,0,7.9,0,-77.5,5.54,0,1.759,0
09/11/2019,12:45, ,0,Fort Matanzas,0,5.8,29.704,0,52.7384,0,34.62,0,91.1,0,5.72,0,7.9,0,-77.7,5.77,0,1.722,0
09/11/2019,13:00, ,0,Fort Matanzas,0,5.8,29.658,0,52.7739,0,34.65,0,91.6,0,5.75,0,7.9,0,-77.8,5.94,0,1.693,0
09/11/2019,13:15, ,0,Fort Matanzas,0,5.8,29.982,0,52.9119,0,34.74,0,95.8,0,5.98,0,7.91,0,-78.5,5.77,0,1.666,0
09/11/2019,13:30, ,0,Fort Matanzas,0,5.8,29.988,0,52.9686,0,34.78,0,97.8,0,6.11,0,7.93,0,-79.2,5.6,0,1.652,0
09/11/2019,13:45, ,0,Fort Matanzas,0,5.8,30.07,0,53.1397,0,34.91,0,98.2,0,6.12,0,7.93,0,-79.4,6.12,0,1.652,0
