Date,Time,F_Record,Time(Fract.Sec),SiteName,FaultCode,Battery,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,pH,F_pH,pHmV,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,Turb,F_Turb,ChlorophyllRFU,ChlFluor,F_ChlFluor,Depth,F_Depth
08/13/2019,10:45, ,0,Pellicer Creek,0,6,49.5,<0> (CND),3.18,<0> (CND),7.47,<0> (CND),-41.2,31.73,<0> (CND),38.2672,<0> (CND),24.13,<0> (CND),14.47,<0> (CND),2.79,11.22,<0> (CND),1.333,<0> (CND)
08/13/2019,11:00, ,0,Pellicer Creek,0,6.1,47.2,0,3.06,0,7.43,0,-38.5,31.687,0,36.5306,0,22.92,0,13.73,0,2.9,11.65,0,1.313,0
08/13/2019,11:15, ,0,Pellicer Creek,0,6.1,46.3,0,3.02,0,7.37,0,-35,31.629,0,34.9159,0,21.8,0,13.03,0,3.06,12.3,0,1.293,0
08/13/2019,11:30, ,0,Pellicer Creek,0,6.1,45.1,0,2.97,0,7.32,0,-32.1,31.548,0,33.3712,0,20.74,0,14.53,0,3.18,12.8,0,1.272,0
08/13/2019,11:45, ,0,Pellicer Creek,0,6,44.2,0,2.94,0,7.25,0,-27.6,31.48,0,30.4434,0,18.74,0,12.25,0,3.36,13.52,0,1.251,0
08/13/2019,12:00, ,0,Pellicer Creek,0,6.1,43.9,0,2.92,0,7.23,0,-26.5,31.492,0,30.1558,0,18.55,0,12.43,0,3.36,13.51,0,1.227,0
08/13/2019,12:15, ,0,Pellicer Creek,0,6.1,42.8,0,2.87,0,7.18,0,-23.3,31.48,0,28.2422,0,17.25,0,11.65,0,3.55,14.26,0,1.205,0
08/13/2019,12:30, ,0,Pellicer Creek,0,6,42.6,0,2.86,0,7.17,0,-22.8,31.507,0,28.2011,0,17.23,0,11.27,0,3.46,13.9,0,1.182,0
08/13/2019,12:45, ,0,Pellicer Creek,0,6,44.2,0,3.01,0,7.04,0,-15,31.602,0,23.2597,0,13.94,0,10.91,0,3.84,15.42,0,1.161,0
08/13/2019,13:00, ,0,Pellicer Creek,0,6.1,42.9,0,2.92,0,7.07,0,-17.1,31.559,0,24.3759,0,14.68,0,10.26,0,3.74,15.05,0,1.138,0
08/13/2019,13:15, ,0,Pellicer Creek,0,6,42.8,0,2.93,0,7.04,0,-14.9,31.552,0,21.7348,0,12.95,0,10.42,0,3.87,15.56,0,1.116,0
08/13/2019,13:30, ,0,Pellicer Creek,0,6,44,0,3.02,0,7,0,-12.8,31.607,0,20.8737,0,12.39,0,9.49,0,3.93,15.81,0,1.093,0
08/13/2019,13:45, ,0,Pellicer Creek,0,6,44,0,3.03,0,6.99,0,-11.9,31.7,0,19.7904,0,11.68,0,8.72,0,4.05,16.28,0,1.069,0
08/13/2019,14:00, ,0,Pellicer Creek,0,6,41.7,0,2.89,0,6.99,0,-12.1,31.528,0,19.1814,0,11.3,0,8.4,0,4.01,16.12,0,1.051,0
08/13/2019,14:15, ,0,Pellicer Creek,0,6,43.3,0,3.01,0,6.96,0,-9.9,31.669,0,17.7357,0,10.37,0,8.08,0,4.14,16.64,0,1.03,0
08/13/2019,14:30, ,0,Pellicer Creek,0,6,43.2,0,3.01,0,6.95,0,-9.5,31.702,0,16.8015,0,9.78,0,9.12,0,4.11,16.51,0,1.009,0
08/13/2019,14:45, ,0,Pellicer Creek,0,6,42.6,0,2.97,0,6.93,0,-8.5,31.659,0,16.7408,0,9.74,0,7.83,0,4.07,16.37,0,0.991,0
08/13/2019,15:00, ,0,Pellicer Creek,0,6,42.9,0,3.01,0,6.92,0,-7.8,31.7,0,14.9247,0,8.6,0,8.27,0,4.17,16.76,0,0.976,0
08/13/2019,15:15, ,0,Pellicer Creek,0,6,43.9,0,3.08,0,6.9,0,-6.5,31.746,0,14.0623,0,8.06,0,8.11,0,4.21,16.92,0,0.962,0
08/13/2019,15:30, ,0,Pellicer Creek,0,6,41.5,0,2.93,0,6.9,0,-6.6,31.631,0,13.4384,0,7.67,0,7.5,0,4.16,16.73,0,0.947,0
08/13/2019,15:45, ,0,Pellicer Creek,0,6,42.7,0,3.02,0,6.88,0,-5.1,31.642,0,12.8421,0,7.31,0,7.85,0,4.19,16.83,0,0.94,0
08/13/2019,16:00, ,0,Pellicer Creek,0,6,42.3,0,3,0,6.87,0,-4.7,31.653,0,12.1324,0,6.87,0,8.11,0,4.27,17.15,0,0.935,0
08/13/2019,16:15, ,0,Pellicer Creek,0,6,43.6,0,3.1,0,6.85,0,-3.3,31.696,0,10.8935,0,6.12,0,8.08,0,4.31,17.33,0,0.929,0
08/13/2019,16:30, ,0,Pellicer Creek,0,6,43.5,0,3.1,0,6.84,0,-2.6,31.613,0,10.3131,0,5.77,0,7.98,0,4.28,17.2,0,0.917,0
08/13/2019,16:45, ,0,Pellicer Creek,0,6,43.6,0,3.1,0,6.84,0,-2.9,31.674,0,10.3316,0,5.78,0,7.57,0,4.17,16.77,0,0.92,0
08/13/2019,17:00, ,0,Pellicer Creek,0,6,43.8,0,3.13,0,6.83,0,-2.2,31.689,0,9.8558,0,5.49,0,7.57,0,4.31,17.31,0,0.936,0
