Date,Time,F_Record,Time(Fract.Sec),SiteName,FaultCode,Battery,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,pH,F_pH,pHmV,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,Turb,F_Turb,ChlorophyllRFU,ChlFluor,F_ChlFluor,Depth,F_Depth
07/30/2019,12:00, ,0,Pellicer Creek,0,6.2,47.6,<0> (CND),3.39,<0> (CND),7,<0> (CND),-10.4,29.648,<0> (CND),20.3102,<0> (CND),12.05,<0> (CND),22.11,<0> (CND),3.66,14.62,<0> (CND),1.568,<0> (CND)
07/30/2019,12:15, ,0,Pellicer Creek,0,6.2,47.9,0,3.45,0,6.92,0,-5.6,29.63,0,17.5648,0,10.29,0,27.99,0,3.72,14.89,0,1.538,0
07/30/2019,12:30, ,0,Pellicer Creek,0,6.2,48,0,3.51,0,6.86,0,-1.9,29.557,0,13.222,0,7.56,0,26.01,0,3.87,15.46,0,1.508,0
07/30/2019,12:45, ,0,Pellicer Creek,0,6.2,49.3,0,3.65,0,6.8,0,1.9,29.618,0,9.0671,0,5.03,0,22.14,0,4.07,16.26,0,1.482,0
07/30/2019,13:00, ,0,Pellicer Creek,0,6.2,50.1,0,3.73,0,6.78,0,3.2,29.559,0,7.0293,0,3.83,0,16.95,0,4.22,16.9,0,1.452,0
07/30/2019,13:15, ,0,Pellicer Creek,0,6.2,50.1,0,3.76,0,6.72,0,6.5,29.386,0,5.6831,0,3.05,0,17.38,0,4.23,16.91,0,1.424,0
07/30/2019,13:30, ,0,Pellicer Creek,0,6.2,50.6,0,3.8,0,6.72,0,6.5,29.501,0,4.9161,0,2.62,0,15.25,0,4.28,17.14,0,1.395,0
07/30/2019,13:45, ,0,Pellicer Creek,0,6.2,50.5,0,3.79,0,6.69,0,8.7,29.55,0,5.5574,0,2.98,0,16.92,0,4.25,17.02,0,1.372,0
07/30/2019,14:00, ,0,Pellicer Creek,0,6.2,52.2,0,3.93,0,6.68,0,9.1,29.646,0,3.3874,0,1.76,0,12.57,0,4.41,17.66,0,1.35,0
07/30/2019,14:15, ,0,Pellicer Creek,0,6.2,51.4,0,3.89,0,6.64,0,11.2,29.457,0,3.0968,0,1.6,0,11.31,0,4.37,17.5,0,1.317,0
07/30/2019,14:30, ,0,Pellicer Creek,0,6.2,51.1,0,3.88,0,6.64,0,11.2,29.358,0,2.858,0,1.47,0,10.94,0,4.39,17.57,0,1.291,0
07/30/2019,14:45, ,0,Pellicer Creek,0,6.2,50.5,0,3.84,0,6.63,0,11.9,29.225,0,2.3834,0,1.21,0,10.86,0,4.39,17.55,0,1.265,0
07/30/2019,15:00, ,0,Pellicer Creek,0,6.2,50.2,0,3.82,0,6.61,0,13.1,29.153,0,2.2788,0,1.16,0,10.36,0,4.39,17.58,0,1.244,0
07/30/2019,15:15, ,0,Pellicer Creek,0,6.2,50.9,0,3.88,0,6.62,0,12.4,29.172,0,1.8745,0,0.94,0,9.63,0,4.48,17.92,0,1.225,0
07/30/2019,15:30, ,0,Pellicer Creek,0,6.2,50.3,0,3.84,0,6.62,0,12.8,29.115,0,1.7731,0,0.89,0,8.77,0,4.44,17.76,0,1.211,0
07/30/2019,15:45, ,0,Pellicer Creek,0,6.2,50.6,0,3.86,0,6.61,0,13.1,29.126,0,1.6876,0,0.85,0,8.38,0,4.46,17.83,0,1.2,0
07/30/2019,16:00, ,0,Pellicer Creek,0,6.2,49.6,0,3.8,0,6.6,0,13.9,28.973,0,1.5333,0,0.76,0,7.7,0,4.38,17.54,0,1.187,0
07/30/2019,16:15, ,0,Pellicer Creek,0,6.2,49.1,0,3.76,0,6.6,0,13.7,29.029,0,1.647,0,0.82,0,9.25,0,4.35,17.42,0,1.183,0
07/30/2019,16:30, ,0,Pellicer Creek,0,6.2,45.4,0,3.48,0,6.6,0,13.7,29.005,0,1.5234,0,0.76,0,7.24,0,4.38,17.51,0,1.191,0
